CountyCode,CountyName,DistrictCode,DistrictName,SchoolCode,SchoolName,Grade_Subject,Subject,MetExcExpPerc,Year
1,ATLANTIC,10,ABSECON CITY,50,EMMA C ATTALES,Grade 5,LAL,47,2017-18
1,ATLANTIC,10,ABSECON CITY,50,EMMA C ATTALES,Grade 6,LAL,59,2017-18
1,ATLANTIC,10,ABSECON CITY,50,EMMA C ATTALES,Grade 7,LAL,64,2017-18
1,ATLANTIC,10,ABSECON CITY,50,EMMA C ATTALES,Grade 8,LAL,57,2017-18
1,ATLANTIC,10,ABSECON CITY,60,H ASHTON MARSH,Grade 3,LAL,44,2017-18
1,ATLANTIC,10,ABSECON CITY,60,H ASHTON MARSH,Grade 4,LAL,54,2017-18
1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,Grade 9,LAL,27,2017-18
1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,Grade 10,LAL,25,2017-18
1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,Grade 11,LAL,19,2017-18
1,ATLANTIC,110,ATLANTIC CITY,30,SOVEREIGN AVENUE SCHOOL,Grade 3,LAL,40,2017-18
1,ATLANTIC,110,ATLANTIC CITY,30,SOVEREIGN AVENUE SCHOOL,Grade 4,LAL,31,2017-18
1,ATLANTIC,110,ATLANTIC CITY,30,SOVEREIGN AVENUE SCHOOL,Grade 5,LAL,45,2017-18
1,ATLANTIC,110,ATLANTIC CITY,30,SOVEREIGN AVENUE SCHOOL,Grade 6,LAL,41,2017-18
1,ATLANTIC,110,ATLANTIC CITY,30,SOVEREIGN AVENUE SCHOOL,Grade 7,LAL,58,2017-18
1,ATLANTIC,110,ATLANTIC CITY,30,SOVEREIGN AVENUE SCHOOL,Grade 8,LAL,51,2017-18
1,ATLANTIC,110,ATLANTIC CITY,50,CHELSEA HEIGHTS SCHOOL,Grade 3,LAL,44,2017-18
1,ATLANTIC,110,ATLANTIC CITY,50,CHELSEA HEIGHTS SCHOOL,Grade 4,LAL,58,2017-18
1,ATLANTIC,110,ATLANTIC CITY,50,CHELSEA HEIGHTS SCHOOL,Grade 5,LAL,52,2017-18
1,ATLANTIC,110,ATLANTIC CITY,50,CHELSEA HEIGHTS SCHOOL,Grade 6,LAL,27,2017-18
1,ATLANTIC,110,ATLANTIC CITY,50,CHELSEA HEIGHTS SCHOOL,Grade 7,LAL,67,2017-18
1,ATLANTIC,110,ATLANTIC CITY,50,CHELSEA HEIGHTS SCHOOL,Grade 8,LAL,61,2017-18
1,ATLANTIC,110,ATLANTIC CITY,60,TEXAS AVENUE SCHOOL,Grade 3,LAL,16,2017-18
1,ATLANTIC,110,ATLANTIC CITY,60,TEXAS AVENUE SCHOOL,Grade 4,LAL,26,2017-18
1,ATLANTIC,110,ATLANTIC CITY,60,TEXAS AVENUE SCHOOL,Grade 5,LAL,38,2017-18
1,ATLANTIC,110,ATLANTIC CITY,60,TEXAS AVENUE SCHOOL,Grade 6,LAL,26,2017-18
1,ATLANTIC,110,ATLANTIC CITY,60,TEXAS AVENUE SCHOOL,Grade 7,LAL,36,2017-18
1,ATLANTIC,110,ATLANTIC CITY,60,TEXAS AVENUE SCHOOL,Grade 8,LAL,38,2017-18
1,ATLANTIC,110,ATLANTIC CITY,70,NEW YORK AVENUE SCHOOL,Grade 3,LAL,13,2017-18
1,ATLANTIC,110,ATLANTIC CITY,70,NEW YORK AVENUE SCHOOL,Grade 4,LAL,9999999,2017-18
1,ATLANTIC,110,ATLANTIC CITY,70,NEW YORK AVENUE SCHOOL,Grade 5,LAL,9999999,2017-18
1,ATLANTIC,110,ATLANTIC CITY,70,NEW YORK AVENUE SCHOOL,Grade 6,LAL,16,2017-18
1,ATLANTIC,110,ATLANTIC CITY,70,NEW YORK AVENUE SCHOOL,Grade 7,LAL,25,2017-18
1,ATLANTIC,110,ATLANTIC CITY,70,NEW YORK AVENUE SCHOOL,Grade 8,LAL,16,2017-18
1,ATLANTIC,110,ATLANTIC CITY,80,UPTOWN SCHOOL COMPLEX,Grade 3,LAL,13,2017-18
1,ATLANTIC,110,ATLANTIC CITY,80,UPTOWN SCHOOL COMPLEX,Grade 4,LAL,9999999,2017-18
1,ATLANTIC,110,ATLANTIC CITY,80,UPTOWN SCHOOL COMPLEX,Grade 5,LAL,9999999,2017-18
1,ATLANTIC,110,ATLANTIC CITY,80,UPTOWN SCHOOL COMPLEX,Grade 6,LAL,14,2017-18
1,ATLANTIC,110,ATLANTIC CITY,80,UPTOWN SCHOOL COMPLEX,Grade 7,LAL,15,2017-18
1,ATLANTIC,110,ATLANTIC CITY,80,UPTOWN SCHOOL COMPLEX,Grade 8,LAL,22,2017-18
1,ATLANTIC,110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,Grade 3,LAL,20,2017-18
1,ATLANTIC,110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,Grade 4,LAL,34,2017-18
1,ATLANTIC,110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,Grade 5,LAL,17,2017-18
