CountyCode,CountyName,DistrictCode,DistrictName,SchoolCode,SchoolName,Year,Grade_Subject,Subject,MetExcExpPerc
1,ATLANTIC,10,ABSECON CITY,50,EMMA C ATTALES,2017-18,Grade 5,Math,31
1,ATLANTIC,10,ABSECON CITY,50,EMMA C ATTALES,2017-18,Grade 5,Math,31
1,ATLANTIC,10,ABSECON CITY,50,EMMA C ATTALES,2017-18,Grade 6,Math,29
1,ATLANTIC,10,ABSECON CITY,50,EMMA C ATTALES,2017-18,Grade 6,Math,29
1,ATLANTIC,10,ABSECON CITY,50,EMMA C ATTALES,2017-18,Grade 7,Math,49
1,ATLANTIC,10,ABSECON CITY,50,EMMA C ATTALES,2017-18,Grade 7,Math,49
1,ATLANTIC,10,ABSECON CITY,50,EMMA C ATTALES,2017-18,Grade 8,Math,9999999
1,ATLANTIC,10,ABSECON CITY,50,EMMA C ATTALES,2017-18,Grade 8,Math,9999999
1,ATLANTIC,10,ABSECON CITY,50,EMMA C ATTALES,2017-18,Algebra I,Math,79
1,ATLANTIC,10,ABSECON CITY,50,EMMA C ATTALES,2017-18,Algebra I,Math,79
1,ATLANTIC,10,ABSECON CITY,50,EMMA C ATTALES,2017-18,Algebra I,Math,79
1,ATLANTIC,10,ABSECON CITY,60,H ASHTON MARSH,2017-18,Grade 3,Math,53
1,ATLANTIC,10,ABSECON CITY,60,H ASHTON MARSH,2017-18,Grade 3,Math,53
1,ATLANTIC,10,ABSECON CITY,60,H ASHTON MARSH,2017-18,Grade 4,Math,58
1,ATLANTIC,10,ABSECON CITY,60,H ASHTON MARSH,2017-18,Grade 4,Math,58
1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,2017-18,Algebra I,Math,9999999
1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,2017-18,Algebra I,Math,9999999
1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,2017-18,Algebra I,Math,9999999
1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,2017-18,Algebra II,Math,18
1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,2017-18,Algebra II,Math,18
1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,2017-18,Algebra II,Math,18
1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,2017-18,Geometry,Math,9999999
1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,2017-18,Geometry,Math,9999999
1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,2017-18,Geometry,Math,9999999
1,ATLANTIC,110,ATLANTIC CITY,30,SOVEREIGN AVENUE SCHOOL,2017-18,Grade 3,Math,34
1,ATLANTIC,110,ATLANTIC CITY,30,SOVEREIGN AVENUE SCHOOL,2017-18,Grade 3,Math,34
1,ATLANTIC,110,ATLANTIC CITY,30,SOVEREIGN AVENUE SCHOOL,2017-18,Grade 4,Math,27
1,ATLANTIC,110,ATLANTIC CITY,30,SOVEREIGN AVENUE SCHOOL,2017-18,Grade 4,Math,27
1,ATLANTIC,110,ATLANTIC CITY,30,SOVEREIGN AVENUE SCHOOL,2017-18,Grade 5,Math,44
1,ATLANTIC,110,ATLANTIC CITY,30,SOVEREIGN AVENUE SCHOOL,2017-18,Grade 5,Math,44
1,ATLANTIC,110,ATLANTIC CITY,30,SOVEREIGN AVENUE SCHOOL,2017-18,Grade 6,Math,27
1,ATLANTIC,110,ATLANTIC CITY,30,SOVEREIGN AVENUE SCHOOL,2017-18,Grade 6,Math,27
1,ATLANTIC,110,ATLANTIC CITY,30,SOVEREIGN AVENUE SCHOOL,2017-18,Grade 7,Math,39
1,ATLANTIC,110,ATLANTIC CITY,30,SOVEREIGN AVENUE SCHOOL,2017-18,Grade 7,Math,39
1,ATLANTIC,110,ATLANTIC CITY,30,SOVEREIGN AVENUE SCHOOL,2017-18,Grade 8,Math,31
1,ATLANTIC,110,ATLANTIC CITY,30,SOVEREIGN AVENUE SCHOOL,2017-18,Grade 8,Math,31
1,ATLANTIC,110,ATLANTIC CITY,30,SOVEREIGN AVENUE SCHOOL,2017-18,Algebra I,Math,88
1,ATLANTIC,110,ATLANTIC CITY,30,SOVEREIGN AVENUE SCHOOL,2017-18,Algebra I,Math,88
1,ATLANTIC,110,ATLANTIC CITY,30,SOVEREIGN AVENUE SCHOOL,2017-18,Algebra I,Math,88
1,ATLANTIC,110,ATLANTIC CITY,50,CHELSEA HEIGHTS SCHOOL,2017-18,Grade 3,Math,29
1,ATLANTIC,110,ATLANTIC CITY,50,CHELSEA HEIGHTS SCHOOL,2017-18,Grade 3,Math,29
1,ATLANTIC,110,ATLANTIC CITY,50,CHELSEA HEIGHTS SCHOOL,2017-18,Grade 4,Math,36
1,ATLANTIC,110,ATLANTIC CITY,50,CHELSEA HEIGHTS SCHOOL,2017-18,Grade 4,Math,36
1,ATLANTIC,110,ATLANTIC CITY,50,CHELSEA HEIGHTS SCHOOL,2017-18,Grade 5,Math,35
1,ATLANTIC,110,ATLANTIC CITY,50,CHELSEA HEIGHTS SCHOOL,2017-18,Grade 5,Math,35
1,ATLANTIC,110,ATLANTIC CITY,50,CHELSEA HEIGHTS SCHOOL,2017-18,Grade 6,Math,15
1,ATLANTIC,110,ATLANTIC CITY,50,CHELSEA HEIGHTS SCHOOL,2017-18,Grade 6,Math,15
1,ATLANTIC,110,ATLANTIC CITY,50,CHELSEA HEIGHTS SCHOOL,2017-18,Grade 7,Math,29
1,ATLANTIC,110,ATLANTIC CITY,50,CHELSEA HEIGHTS SCHOOL,2017-18,Grade 7,Math,29
1,ATLANTIC,110,ATLANTIC CITY,50,CHELSEA HEIGHTS SCHOOL,2017-18,Grade 8,Math,31
1,ATLANTIC,110,ATLANTIC CITY,50,CHELSEA HEIGHTS SCHOOL,2017-18,Grade 8,Math,31
